segment,segment_label,product,pd_decimal,lgd_decimal,expected_loss_rate_decimal,pd_source_count,lgd_source_count,as_of_date
commercial_property,Commercial Property,commercial_property,0.022,0.20873,0.004592,5,2,2025-09-30
corporate_general,Corporate General,corporate_general,0.016959,0.454809,0.007713,1,1,2025-09-30
corporate_sme,Corporate SME,term_loan,0.028,0.418057,0.011706,5,1,2025-09-30
development,Development,development,0.018,0.35,0.0063,4,4,2024-12-31
financial_institution,Financial Institution,financial_institution,0.004938,0.489287,0.002416,1,1,2025-09-30
residential_mortgage,Residential Mortgage,residential_mortgage,0.008,0.173687,0.001389,5,4,2025-09-30
retail_other,Retail Other,retail_other,0.015546,0.363578,0.005652,1,1,2025-09-30
retail_sme,Retail SME,retail_sme,0.028911,0.413695,0.01196,1,1,2025-09-30
sovereign,Sovereign,sovereign,0.009,0.052111,0.000469,1,1,2025-09-30
